    Number of iterations       Error on mobility      Error on occupancy                Mobility               MeanOccup          Solution check
                   10000                       1            4.373039e-08           4.2811855e-05            0.0023148098           2.3115477e-11
                   20000           8.9763369e-07           4.0635488e-08           4.2427561e-05            0.0023148074           2.1491092e-11
                   30000           8.5333706e-07           3.8412411e-08           4.2065511e-05            0.0023148038            2.032533e-11
                   40000           8.1890721e-07           3.6458336e-08           4.1721033e-05            0.0023148113           1.9300222e-11
                   50000           7.8728032e-07           3.4655666e-08           4.1392572e-05            0.0023147998            1.835362e-11
                   60000           7.5701149e-07           3.2972389e-08           4.1079225e-05            0.0023148104           1.7469174e-11
                   70000           7.2803842e-07           3.1393157e-08           4.0780153e-05            0.0023147927           1.6638534e-11
                   80000           6.9998373e-07           2.9907066e-08           4.0494698e-05            0.0023148128           1.5856597e-11
                   90000           6.7311628e-07           2.8505285e-08           4.0222122e-05            0.0023147986           1.5118273e-11
                  100000           6.4710972e-07           2.7180372e-08           3.9961841e-05            0.0023147943           1.4420053e-11
                  100001           6.4710972e-07           2.7180243e-08           3.9961841e-05            0.0023147943           1.4419985e-11
